,CSC11,CSC13,CSC5,CSC7,Noncertified1,Noncertified10,Noncertified15,Noncertified2,Noncertified4,Noncertified6,Noncertified8,PSC12,PSC14,PSC3,TCSC9
C-5,79.88945426902299,89.5951158241378,76.14198662279985,105.4909546456313,17.7253959958394,29.66696812208198,57.02217092882802,64.20036492856578,34.87803905163823,36.60947677319812,77.63016776273302,55.73905144970254,48.43991232469169,33.35027903010983,55.93733779167856
C-6,86.03711595598527,95.74277751110012,82.28964830976214,104.5755692006235,23.90327530647635,29.08114551775342,56.43634832449946,63.61454232423721,40.81900445464073,42.75713846016043,76.5013971946484,55.15322884537397,54.02519681627663,31.81046715053694,62.08499947864085
C-7,89.59897757650641,99.30463913162126,85.8515099302833,107.4810430528333,27.46513692699752,30.36674411921421,59.86544813475169,54.67367680689416,44.3808660751619,46.31900008068158,79.93049700490062,58.58232865562619,57.58705843679779,32.34285166918521,65.64686109916202
C-8,92.65357401812155,102.3592355732364,88.90610637189843,111.1666209397609,30.51973336861266,32.0321752487704,64.92016664667932,49.6624758145585,47.43546251677705,49.37359652229672,84.48973416246199,62.75062033631381,60.64165487841293,32.31877682395565,68.70145754077716
C-9,102.4963186024779,112.2019801575927,98.74885095625478,109.0941054727205,39.76988313391701,30.00850228732845,69.44421800274732,47.10558059596178,56.92252618971582,57.56463679607771,80.69037062606617,59.34217789612169,70.48439946276929,32.02436600385968,78.54420212513352
D-10,102.5011658831198,112.2068274382346,98.75369823689664,103.5780730862457,39.77473041455887,24.4924699008536,69.44909114167527,42.86994228386654,56.92737347035769,57.56950993500566,75.17433823959131,53.82614550964685,70.48924674341117,33.96175724228409,78.5490494057754
D-11,104.7715377461203,114.4771993012352,101.0240700998972,102.5379277399634,42.04510227755944,23.45232455457134,71.71943714638977,40.54940286320468,59.19774533335827,59.83985593972015,74.13419289330903,52.78600016336458,72.75961860641175,33.78610152582124,80.81942126877597
D-12,106.0797892980895,115.7854508532043,102.3323216518664,103.6726182781518,42.84861607359873,24.58701509275971,77.41658356672698,33.54806306105943,59.76232951828416,62.79981180226464,75.26888343149741,53.92069070155296,74.06787015838087,33.90608912217807,82.12767282074509
D-13,114.5643633900541,117.7972780470607,110.816895743831,106.2827951916459,51.33319016556336,27.19719200625381,75.76314203692081,33.34233295150167,68.24690361024878,70.37034576445002,70.0595415420178,56.53089199571708,82.5524442503455,40.81712444610616,90.61224691270974
D-2,70.7214609668899,80.42711908370467,66.97400144755676,105.7037351516165,12.01263539916136,38.07877202374182,51.13324816696743,78.04631983736692,29.16491224402268,27.44149972484506,77.30000030496211,55.95183195568767,40.0255682189776,39.39594358805483,46.76936345228969
D-3,73.4436369163534,83.14929722117706,69.69617739702026,100.5097774260508,11.11564753347293,29.85872483753852,53.85542411643094,64.39212164402232,28.26792437833426,30.16367567430856,72.10604257939647,50.75784781772952,41.83077421388773,38.0446093098554,49.49153940175319
D-4,76.47549652248226,86.18114870041592,72.72802887625912,102.5249840947424,12.82804940263392,27.52487647063664,54.76968268306047,62.05827327712043,30.90165120145388,33.1955271535474,74.12124924808809,52.77308089881366,44.46389068544485,38.04701291019718,52.52339900788206
